sno,type,title,chapters,status,genres,popularity,score,authors,publish_time
600,manhwa,God of Blackfield,NULL,Publishing,Action,3886,7.08,"Mujang (Story), Shin, Inseong (Art)","Feb  29, 2020 to "
601,manhwa,The Worn and Torn Newbie,NULL,Publishing,"Action,Adventure,Fantasy",4590,7.08,"Lego Babasseo (Story), Boniee (Art)","Nov  30, 2020 to "
602,manhwa,How to Become a Dragon,NULL,Publishing,Supernatural,19671,7.08,eon (Story & Art),"May  11, 2019 to "
603,manhwa,Hive,243,Finished,"Action,Horror,Suspense",14572,7.08,"Kim, Kyusam (Story & Art)","Jan  20, 2014 to Oct  29, 2018"
604,manhwa,The Savior's Time,59,Finished,"Drama,Mystery",25327,7.08,"Song, Geukjang (Story & Art)","Jul  9, 2020 to Aug  12, 2021"
605,manhwa,Martial Artist Lee Gwak,100,Finished,"Action,Adventure,Fantasy",20877,7.08,"Ryu, Geum Chel (Story & Art), Woogack (Story)","Mar  13, 2021 to Oct  10, 2022"
606,manhwa,Return of the War God,NULL,Publishing,"Action,Fantasy",8944,7.08,"Myosu (Story), Rough (Art)","May  31, 2022 to "
607,manhwa,Love SOS,60,Finished,"Action,Drama,Romance",7331,7.08,"Hwang, Mi Ri (Story)",2001 to 
608,manhwa,Coy - Crush On You,17,Finished,"Love,Comedy,Drama,Romance,Life",15112,7.08,"Lee, Kyung-ha (Story & Art)",2003 to 
609,manhwa,Adventure and Trouble Diary,35,Finished,"Comedy,Drama,Fantasy,Romance,Sci-Fi",7555,7.08,"Yoo, Ha Jin (Story & Art)",2005 to 
610,manhwa,Shi Hwa Mong,NULL,Finished,"Comedy,Drama,Romance",21751,7.08,"Lee, Jong-Eun (Story & Art)",2002 to  2012
611,manhwa,I-Ren,28,Finished,"Comedy,Fantasy,Romance",10561,7.08,Aivan (Story & Art),2010 to  2013
612,manhwa,The Phantom King,28,Finished,"Action,Drama,Horror,Mystery,Supernatural",5012,7.07,"Yoon, Jae Ho (Art), Im, Dal Young (Story)","Jul  15, 2009 to  2012"
613,manhwa,Secret,NULL,Finished,Unknown,17614,7.07,"Han, Yu-Rang (Story & Art)",NULL
614,manhwa,Hell Blade,36,Finished,"Drama,Mystery,Supernatural",6928,7.07,"Yoo, Jetae (Story & Art)",2009 to  2011
615,manhwa,Her Tale of Shim Chong Side Stories,4,Finished,"Drama,Love",26257,7.07,"seri (Story), Biwan (Art)","Apr  16, 2019 to Jun  11, 2020"
616,manhwa,The Villainess Lives Again,NULL,Publishing,"Drama,Fantasy,Romance",4723,7.07,"Han, Mint (Story), Peachberry (Art)","Jun  3, 2020 to "
617,manhwa,Sixth Sense Kiss,97,Finished,Romance,9910,7.07,"Got-nyeo (Story), Jocobong (Art)","Apr  17, 2021 to Mar  17, 2023"
618,manhwa,Tricked Into Becoming the Heroine's Stepmother,NULL,Publishing,"Fantasy,Romance",7625,7.07,"Mokgamgi (Story), Hariheen (Art)","Apr  14, 2021 to "
619,manhwa,Garden Club Detective Squad,53,Finished,"Comedy,Mystery",22156,7.07,Oichyu (Story & Art),"Aug  27, 2019 to Aug  18, 2020"
620,manhwa,My Unexpected Marriage,NULL,Publishing,"Drama,Fantasy,Romance",11025,7.07,"Ratshu (Story), Munmyeongin (Art)","Feb  24, 2022 to "
621,manhwa,A Chance at Last,69,Finished,"Drama,Romance",18816,7.07,"Seo, Hye-eun (Story), Dindon (Art)","Sep  23, 2021 to Mar  12, 2023"
622,manhwa,The Art of Reincarnation,NULL,Publishing,"Action,Fantasy",4398,7.07,"Kim, Pyeongbeom (Story), Lee, Sangkyung (Art)","Aug  10, 2022 to "
623,manhwa,Talented Baby Squirrel,NULL,Publishing,"Fantasy,Romance",14072,7.07,"Guncheong Jundan (Story), Han, Soyoung (Art)","Sep  8, 2022 to "
624,manhwa,Boarding House of Hunks,NULL,Finished,"Comedy,Romance",4514,7.07,"Hwang, Mi Ri (Story & Art)","Oct  30, 2006 to Jan  10, 2007"
625,manhwa,Player Kill,NULL,Finished,Action,9864,7.07,"Lee, Jong-Kyu (Story), Park, Chul-Ho (Art)",NULL
626,manhwa,Say Say Say,44,Finished,Comedy,10633,7.07,"Hwang, Mi Ri (Story & Art)",NULL
627,manhwa,Ragnarok,110,On Hiatus,"Action,Adventure,Comedy",3239,7.06,"Lee, Myung-Jin (Story & Art)","Jun  12, 1995 to Jul  7, 2002"
628,manhwa,Dorothy of Oz,NULL,Finished,"Comedy,Fantasy",19911,7.06,"Son, Hee-Joon (Story & Art)",2005 to 
629,manhwa,The Snow Queen,18,Finished,"Drama,Romance",13124,7.06,Wann (Art),2006 to 
630,manhwa,My Secretly Hot Husband,NULL,Publishing,"Fantasy,Romance",5432,7.06,"Jungyeon (Story), Harara (Art)","Aug  31, 2020 to "
631,manhwa,Farmer of Spirits,NULL,Publishing,Fantasy,10347,7.06,"Susaegyeongjang (Story), Gusigi (Art)","Sep  30, 2020 to "
632,manhwa,Side Characters Deserve Love Too,NULL,Publishing,"Comedy,Fantasy,Romance",13921,7.06,"Dandi (Story), Sodapie (Art)","Oct  12, 2021 to "
633,manhwa,The Beloved Fake Saint,NULL,Publishing,Fantasy,16211,7.06,"Junnye (Story), Hwinangsie (Art)","Oct  21, 2022 to "
634,manhwa,Severe Trauma Center: Golden Hour,147,Finished,Drama,23100,7.05,"Hansan, Leega (Story), Hong, Bichi-ra (Art)","Dec  11, 2019 to Nov  28, 2022"
635,manhwa,Peppermint,21,Finished,"Comedy,Drama,Romance",15270,7.05,"Seo, Eun-Jin (Story & Art)",2001 to  2003
636,manhwa,Utopia of Homosexuality,22,Finished,Romance,11316,7.05,"Lee, Sang-Eun (Story & Art)",2002 to  2003
637,manhwa,Promise,NULL,Finished,"Comedy,Romance",18451,7.05,"Lee, Eun-Young (Story & Art)",2005
638,manhwa,Talking About...,17,Finished,Romance,22178,7.05,Wann (Story & Art),2005 to  2007
639,manhwa,Appetite,99,Finished,"Action,Supernatural",22545,7.05,Lero (Story & Art),"Oct  6, 2015 to Jul  2017"
640,manhwa,1 Second,NULL,Publishing,"Action,Supernatural",18849,7.05,"Sini (Story), Gwang-un (Art)","Mar  14, 2019 to "
641,manhwa,At Each Other's Throats,180,Finished,"Comedy,Life",14736,7.05,Sengae (Story & Art),"Sep  5, 2014 to May  5, 2017"
642,manhwa,Deja-vu,6,Finished,"Drama,Fantasy,Romance,Sci-Fi",17657,7.04,"Yoon, In-Wan (Story), Yoon, Seung-Ki (Art), Yang, Kyung-il (Art), Lee, Vin (Art), Park, Sung-Woo (Art), Kim, Tae-Hyung (Art), Byung Jun, Byun (Art)",2004 to 
643,manhwa,Soul to Seoul,18,Finished,"Drama,Romance",16276,7.04,"Kim, Jea-Eun (Story & Art)",2001 to 
644,manhwa,Utopia's Avenger,NULL,Finished,"Action,Romance,Sci-Fi,Supernatural",15452,7.04,"Oh, Se Kwon (Story & Art)",2004 to  2009
645,manhwa,So I Married the Anti-Fan,88,Finished,Romance,10353,7.04,"Jaerim (Art), Kim, Eunjeong (Story)","Dec  4, 2018 to Jun  16, 2020"
646,manhwa,The Viridescent Tiara,NULL,Publishing,"Fantasy,Romance",8164,7.04,"Siya (Story), Binu (Art)","Oct  29, 2020 to "
647,manhwa,The Antagonist's Pet,117,Finished,"Drama,Fantasy",11757,7.04,"Harnenn (Story), Seobo (Art)","Jul  15, 2019 to Jan  17, 2022"
648,manhwa,The Overpowered Newbie,NULL,Publishing,"Action,Adventure,Fantasy",5816,7.04,"Itbaem (Art), Ildeung Bokgwon (Story)","Jun  17, 2022 to "
649,manhwa,I'm the Tyrant's Secretary,NULL,Publishing,"Fantasy,Romance",10700,7.04,"Lee, Inhye (Story), Kio (Art)","May  20, 2021 to "
650,manhwa,The Baby Divine Beast,NULL,Publishing,Fantasy,18392,7.04,"Yunbaekrim (Story), Leaf (Art)","Oct  6, 2022 to "
651,manhwa,Nine Heavens Swordmaster,NULL,Publishing,"Action,Fantasy",6674,7.04,"Jo, Jinhaeng (Story), Saint Nine (Art)","Oct  31, 2022 to "
652,manhwa,Deja-vu,6,Finished,"Drama,Fantasy,Romance,Sci-Fi",17657,7.04,"Yoon, In-Wan (Story), Yoon, Seung-Ki (Art), Yang, Kyung-il (Art), Lee, Vin (Art), Park, Sung-Woo (Art), Kim, Tae-Hyung (Art), Byung Jun, Byun (Art)",2004 to 
653,manhwa,Soul to Seoul,18,Finished,"Drama,Romance",16276,7.04,"Kim, Jea-Eun (Story & Art)",2001 to 
654,manhwa,Utopia's Avenger,NULL,Finished,"Action,Romance,Sci-Fi,Supernatural",15452,7.04,"Oh, Se Kwon (Story & Art)",2004 to  2009
655,manhwa,Sweet Bitter Love,NULL,Finished,Romance,14914,7.03,"Han, Yu-Rang (Story & Art)",NULL
656,manhwa,Inner Beauty,44,Finished,"Love,Supernatural",21135,7.03,Jeollae Donghwa (Story & Art),"Nov  1, 2018 to Jan  30, 2020"
657,manhwa,One Fine Day,28,Finished,"Comedy,Fantasy,Life",20214,7.03,Sirial (Story & Art),2007 to  2008
658,manhwa,Ruby Doll,16,Finished,Romance,16782,7.03,"Choi, Kyung-ah (Story & Art)","Sep  15, 2006 to Jan  30, 2008"
659,manhwa,The Lone Necromancer,NULL,Publishing,"Action,Fantasy",3679,7.03,"Jijeomjang (Story), Kim, Dong-jun (Art)","Sep  13, 2021 to "
660,manhwa,Lady Evony,NULL,Publishing,"Drama,Fantasy",11945,7.03,"Jaya (Story), Neida (Art)","Sep  30, 2019 to "
661,manhwa,The Lady with a Mask,55,Finished,Romance,17065,7.03,"Min (Story), Merin (Art)","May  17, 2018 to May  17, 2019"
662,manhwa,No Outtakes,79,Finished,"Comedy,Romance",25147,7.03,"Go, Sunyoung (Story & Art)","Jun  4, 2021 to Oct  31, 2022"
663,manhwa,King of the Mound,NULL,Publishing,"Sports,Supernatural",18967,7.03,"D-Dart (Story), Meoyeon (Art), Togi (Art)","Jul  27, 2022 to "
664,manhwa,Tyrant of the Tower Defense Game,NULL,Publishing,"Action,Fantasy",9404,7.03,"Ryueun, Garam (Story), Gyong (Art)","Aug  5, 2022 to "
665,manhwa,Seducing the Monster Duke,NULL,Publishing,"Fantasy,Romance",16403,7.03,"Ellianyang (Story), Capu (Art)","Aug  26, 2022 to "
666,manhwa,I Failed to Divorce My Husband,NULL,Publishing,"Fantasy,Romance",22386,7.03,"Yulji (Story), Sunjinmugu (Art)","Sep  12, 2022 to "
